Category: All categories

Month,"""Orkut"": (Worldwide)"
2004-01,<1
2004-02,1
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,2
2004-08,4
2004-09,3
2004-10,3
2004-11,3
2004-12,4
2005-01,5
2005-02,4
2005-03,5
2005-04,5
2005-05,6
2005-06,9
2005-07,12
2005-08,13
2005-09,18
2005-10,15
2005-11,17
2005-12,12
2006-01,14
2006-02,15
2006-03,19
2006-04,22
2006-05,25
2006-06,29
2006-07,34
2006-08,35
2006-09,39
2006-10,38
2006-11,38
2006-12,45
2007-01,42
2007-02,44
2007-03,49
2007-04,57
2007-05,61
2007-06,66
2007-07,79
2007-08,84
2007-09,79
2007-10,76
2007-11,78
2007-12,78
2008-01,63
2008-02,61
2008-03,61
2008-04,60
2008-05,58
2008-06,56
2008-07,60
2008-08,60
2008-09,54
2008-10,52
2008-11,52
2008-12,58
2009-01,56
2009-02,55
2009-03,57
2009-04,58
2009-05,62
2009-06,59
2009-07,63
2009-08,70
2009-09,63
2009-10,65
2009-11,69
2009-12,71
2010-01,65
2010-02,66
2010-03,70
2010-04,72
2010-05,69
2010-06,73
2010-07,81
2010-08,75
2010-09,72
2010-10,63
2010-11,62
2010-12,63
2011-01,62
2011-02,57
2011-03,57
2011-04,60
2011-05,60
2011-06,61
2011-07,64
2011-08,65
2011-09,85
2011-10,100
2011-11,90
2011-12,82
2012-01,73
2012-02,72
2012-03,82
2012-04,58
2012-05,50
2012-06,46
2012-07,38
2012-08,30
2012-09,24
2012-10,23
2012-11,19
2012-12,17
2013-01,14
2013-02,12
2013-03,11
2013-04,10
2013-05,8
2013-06,8
2013-07,7
2013-08,7
2013-09,6
2013-10,7
2013-11,6
2013-12,6
2014-01,5
2014-02,5
2014-03,4
2014-04,4
2014-05,4
2014-06,4
2014-07,6
2014-08,3
2014-09,4
2014-10,2
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,<1
2016-02,<1
2016-03,<1
2016-04,1
2016-05,<1
2016-06,1
2016-07,<1
2016-08,<1
2016-09,1
2016-10,<1
2016-11,<1
2016-12,<1
2017-01,<1
2017-02,<1
2017-03,<1
2017-04,<1
2017-05,<1
2017-06,<1
2017-07,<1
2017-08,<1
2017-09,<1
2017-10,<1
2017-11,<1
2017-12,<1
2018-01,<1
2018-02,<1
2018-03,<1
2018-04,<1
2018-05,<1
2018-06,<1
2018-07,<1
2018-08,<1
2018-09,<1
2018-10,<1
2018-11,<1
2018-12,<1
2019-01,<1
2019-02,<1
2019-03,<1
2019-04,<1
2019-05,<1
2019-06,<1
2019-07,<1
2019-08,<1
2019-09,<1
2019-10,<1
2019-11,<1
2019-12,<1
2020-01,<1
2020-02,<1
2020-03,<1
2020-04,<1
2020-05,<1
2020-06,<1
2020-07,<1
2020-08,<1
2020-09,<1
2020-10,<1
2020-11,<1
2020-12,<1
2021-01,<1
2021-02,<1
2021-03,<1
2021-04,<1
2021-05,<1
2021-06,<1
2021-07,<1
2021-08,<1
2021-09,<1
2021-10,<1
2021-11,<1
2021-12,<1
2022-01,<1
2022-02,<1
2022-03,<1
2022-04,1
2022-05,1
2022-06,<1
2022-07,<1
2022-08,<1
2022-09,<1
2022-10,<1
2022-11,<1
2022-12,<1
2023-01,<1
2023-02,<1
2023-03,<1
2023-04,<1
2023-05,<1
2023-06,<1
2023-07,<1
2023-08,<1
2023-09,<1
2023-10,<1
2023-11,<1
2023-12,<1
2024-01,<1
2024-02,<1
2024-03,<1
2024-04,<1
2024-05,<1
2024-06,<1
2024-07,<1
2024-08,<1
2024-09,<1
2024-10,<1
2024-11,<1
2024-12,<1
2025-01,<1
2025-02,<1
2025-03,<1
2025-04,<1
2025-05,<1
2025-06,<1
2025-07,<1
2025-08,<1
2025-09,<1
