text,sentiment
A request for a calling alternative to Skype.,0.0
Is Skype gone now?,0.0
Skype still works on my phone,0.0
Skype Call Logs - convert to something readable?,0.0
Confsued! Still receiving calls - but can't make any!,0.0
Port out from Skype help plz,0.4588
Is there a way to have a Skype video call show up in a smaller window on top of a window I'm currently working on?,0.2023
Alternative for Skype?,0.0
Skype Alternative for 3-party phone calls,0.0
old version no longer working,-0.296
"Migration from skype to teams, trouble to keep my phone number ( no subscription ) - please help",0.1027
Moving from Skype,0.0
Transferring from Skype to Teams.,0.0
We need to make an actual petition on saving Skype.,0.0
"Help needed: International call rates, Europe, to mobile or landline numbers",0.4019
"Not so secretly hoping they change their mind. I know it's not likely, and I've got teams and exporting files (and created account on another messenger closer to skype) but Imma miss it. Been using it since right before I turned 19 and I'm 34 now.",-0.289
Trouble with softphones,-0.4019
Purchase Skype gift cards for extra Skype credit,0.6705
Hello. Why I can't change Name? (not the skype name),0.0
"Skype now shows me as ""Away"" when I'm... well, away. No way to disable it?",-0.0258
"Welp, skype is retiring",0.0
This subreddit has been hijacked by accounts which promote particular services,0.3818
Weird thing,-0.1779
Any alternatives to Skype international calling?,0.0
Skype for business calls,0.0
Skype Revival,0.0
Skype phone question,0.0
Question About Missed Calls,-0.296
Skype Numbers Substitute For Receiving And Making In App Calls,0.0
US Skype Number for a Non-US Citizen – Porting Option?,0.0772
Alternative for Non-US Skype In Number,0.0772
Did you all have smooth and seamless migration to Teams?,0.0
Skype Alternative,0.0
"I keep receiving email about one time code for my microsoft account. I figured out its Skype. I tried to log in myself and its says the account is locked because of violating something… i havent used this account in like 8 years, i forgot about it",-0.25
Does anyone need $4 Skype credit?,0.3818
"NOT WORKING: ""You can extend your number by signing in to your account."" -- The Skype Number +1 XXX XXX XXXX will expire on Apr 30, 2025.",0.3182
"Callout credits no longer available, what are alternatives?",0.0772
my skype experience might be over once and for all,0.0
someone to test Skype,0.0
Need Skype replacement for a quadriplegic. Sms and calling.,0.0
What time did Skype finally get shut down earlier today?,0.0
Help! All of my Skype messages were stored locally on my old laptop BEFORE it switched to their cloud-based storage!,0.508
"help, I just deleted an entire skype conversation",0.4019
Alternative to Skype number for making and receiving calls,0.0772
A friend is looking for a Skype replacement to record their podcasts.,0.4939
"R.I.P. Skype. Here it is, the legendary video itself: ""A Message From the Skype CEO.""",0.0
"So, MS has disabled Skype version 8.96. How do I upgrade to older versions to get the split view back?",0.0
"I got my transfer to teams offer, anyone have any issues?",0.0
"Problem: Upon my login, one contact's chat history / existing conversation not showing... until I send a message to the contact...",-0.4019
How to call now 1-800 numbers in the US for free from overseas?,0.5106
Conversation history export stuck - has anyone experienced this?,-0.25
Absolute sadness,-0.4404
Need some help,0.4019
Mail for exporting files not coming,0.0
Anyone know the actual shutdown time?,0.0
Found another TRUE Skype Alternative: Hushed!,0.5893
VOIP overseas,0.0
Migration to Teams not going well!,-0.2746
All I need is the ability to receive short code SMS,0.3182
Skype Alternative That Can Auto Pick Up Calls On Receiving End,0.0
Can you download captions?,0.0
Import Skype contact list to Teams,0.0
Microsoft is shutting down Skype after over two decades,0.0
Used up all minutes on subscription - What happens now?,0.0
Does anyone know how to export messages from Skype?,0.0
How can I get Skype monthly subscription?,0.0
Can anyone transfer any Skype credit?,0.3818
Documenting switch from Skype to Slack,0.0
"My Skype Number expired on April 2025. I wish to pay for extension of subscription until May 25 2025, so that I could port the number. Is there a way to do this?",0.4404
Replacement for Skype calling to landline,0.0
Looks like Skype Numbers have been “released” (wrong term) so where are they going + how to secure a specific one,0.2023
Successfully ported to Tello,0.4939
"I can't view pictures that I sent on a skype chat from 2018, does anyone know why?",0.0
Porting to office 366 teams,0.0
looking for an alternative with a popout video function,0.0
Emails regarding changing currency and credit,0.3818
My wholeheartedly message to microsoft.,0.0
Successful port to Mint Mobile,0.5859
Late notice to export data.,0.0
Non-US solution to making international calls to mobile phones,0.3182
Skype number - cannot figure out missed calls or made calls ,0.2933
How to contact Skype live chat support? Can I use Teams for calling landlines?,0.4696
"skype call ""oops something went wrong""",-0.4767
Sad,-0.4767
Any way to identify my skype account?,0.0
Skype just died on my windows 7 laptop after I tried downgrading to Skype 7,-0.5574
On last day. Skype won't accept payment.  Began transfer to Voiply today.  Will it work?,-0.2924
