Category: All categories

Month,skype: (Worldwide),Microsoft Teams: (Worldwide)
2004-01,6,1
2004-02,7,1
2004-03,8,1
2004-04,8,1
2004-05,9,1
2004-06,10,1
2004-07,13,1
2004-08,14,1
2004-09,19,1
2004-10,20,1
2004-11,25,1
2004-12,25,1
2005-01,31,1
2005-02,37,1
2005-03,37,1
2005-04,36,1
2005-05,33,1
2005-06,33,1
2005-07,34,1
2005-08,35,1
2005-09,45,1
2005-10,45,1
2005-11,45,1
2005-12,49,1
2006-01,57,1
2006-02,53,1
2006-03,50,1
2006-04,45,1
2006-05,48,2
2006-06,45,2
2006-07,47,1
2006-08,51,1
2006-09,54,1
2006-10,54,1
2006-11,50,1
2006-12,55,1
2007-01,58,1
2007-02,53,1
2007-03,49,1
2007-04,45,1
2007-05,44,1
2007-06,44,1
2007-07,45,1
2007-08,52,1
2007-09,46,1
2007-10,45,1
2007-11,46,1
2007-12,47,1
2008-01,50,1
2008-02,48,1
2008-03,45,1
2008-04,42,1
2008-05,43,1
2008-06,44,1
2008-07,48,1
2008-08,50,1
2008-09,49,1
2008-10,50,1
2008-11,50,1
2008-12,54,1
2009-01,60,1
2009-02,62,1
2009-03,59,1
2009-04,55,1
2009-05,56,1
2009-06,56,1
2009-07,59,1
2009-08,61,1
2009-09,64,1
2009-10,60,1
2009-11,62,1
2009-12,66,1
2010-01,70,1
2010-02,67,1
2010-03,69,1
2010-04,64,1
2010-05,62,1
2010-06,65,1
2010-07,71,1
2010-08,77,1
2010-09,78,1
2010-10,83,1
2010-11,81,1
2010-12,100,1
2011-01,90,1
2011-02,80,1
2011-03,81,1
2011-04,81,1
2011-05,93,1
2011-06,87,1
2011-07,87,1
2011-08,96,1
2011-09,95,1
2011-10,92,1
2011-11,89,1
2011-12,95,1
2012-01,93,1
2012-02,82,1
2012-03,80,1
2012-04,79,1
2012-05,72,1
2012-06,74,1
2012-07,79,1
2012-08,78,1
2012-09,82,1
2012-10,75,1
2012-11,80,1
2012-12,86,1
2013-01,86,1
2013-02,82,1
2013-03,83,1
2013-04,83,1
2013-05,78,1
2013-06,79,1
2013-07,79,1
2013-08,79,1
2013-09,74,1
2013-10,74,1
2013-11,71,1
2013-12,74,1
2014-01,70,1
2014-02,67,1
2014-03,63,1
2014-04,61,1
2014-05,57,1
2014-06,58,1
2014-07,58,1
2014-08,73,1
2014-09,63,1
2014-10,61,1
2014-11,53,1
2014-12,57,1
2015-01,55,1
2015-02,51,1
2015-03,46,1
2015-04,45,1
2015-05,43,1
2015-06,45,1
2015-07,45,1
2015-08,45,1
2015-09,47,1
2015-10,39,1
2015-11,38,1
2015-12,40,1
2016-01,31,1
2016-02,29,1
2016-03,27,1
2016-04,25,1
2016-05,27,1
2016-06,26,1
2016-07,25,1
2016-08,25,1
2016-09,26,1
2016-10,25,1
2016-11,24,<1
2016-12,22,<1
2017-01,22,<1
2017-02,22,<1
2017-03,25,<1
2017-04,21,<1
2017-05,20,<1
2017-06,19,<1
2017-07,20,<1
2017-08,20,<1
2017-09,19,<1
2017-10,18,<1
2017-11,18,<1
2017-12,18,<1
2018-01,19,1
2018-02,18,1
2018-03,17,1
2018-04,15,1
2018-05,14,1
2018-06,13,1
2018-07,13,1
2018-08,12,1
2018-09,12,1
2018-10,12,1
2018-11,11,1
2018-12,10,1
2019-01,11,2
2019-02,11,2
2019-03,11,2
2019-04,10,2
2019-05,10,2
2019-06,10,2
2019-07,10,2
2019-08,9,3
2019-09,10,3
2019-10,9,3
2019-11,9,4
2019-12,8,3
2020-01,9,4
2020-02,9,5
2020-03,34,29
2020-04,33,44
2020-05,17,35
2020-06,12,31
2020-07,10,23
2020-08,9,27
2020-09,10,45
2020-10,9,41
2020-11,9,37
2020-12,8,29
2021-01,8,38
2021-02,8,39
2021-03,7,38
2021-04,7,33
2021-05,6,30
2021-06,6,28
2021-07,5,22
2021-08,5,23
2021-09,5,33
2021-10,5,28
2021-11,5,29
2021-12,5,24
2022-01,5,30
2022-02,5,30
2022-03,5,25
2022-04,5,22
2022-05,5,22
2022-06,5,22
2022-07,5,19
2022-08,5,19
2022-09,5,24
2022-10,5,15
2022-11,5,7
2022-12,5,5
2023-01,5,7
2023-02,5,7
2023-03,5,7
2023-04,4,6
2023-05,4,6
2023-06,4,7
2023-07,4,17
2023-08,4,19
2023-09,4,23
2023-10,4,25
2023-11,4,22
2023-12,4,17
2024-01,4,22
2024-02,4,25
2024-03,4,23
2024-04,4,23
2024-05,4,23
2024-06,4,21
2024-07,4,19
2024-08,4,18
2024-09,4,24
2024-10,5,22
2024-11,4,6
2024-12,4,16
2025-01,4,23
2025-02,5,26
2025-03,6,26
2025-04,4,25
2025-05,3,27
2025-06,1,25
2025-07,1,23
2025-08,1,23
2025-09,1,29
