Category: All categories

Month,yahoo: (Worldwide),facebook: (Worldwide)
2004-01,6,<1
2004-02,6,<1
2004-03,6,<1
2004-04,6,<1
2004-05,6,<1
2004-06,7,<1
2004-07,7,<1
2004-08,7,<1
2004-09,7,<1
2004-10,7,<1
2004-11,6,<1
2004-12,7,<1
2005-01,7,<1
2005-02,7,<1
2005-03,7,<1
2005-04,8,<1
2005-05,8,<1
2005-06,8,<1
2005-07,9,<1
2005-08,9,<1
2005-09,9,<1
2005-10,9,<1
2005-11,9,<1
2005-12,9,<1
2006-01,9,<1
2006-02,9,<1
2006-03,9,<1
2006-04,9,<1
2006-05,9,<1
2006-06,10,<1
2006-07,10,<1
2006-08,10,<1
2006-09,10,1
2006-10,10,1
2006-11,10,1
2006-12,10,1
2007-01,10,1
2007-02,10,1
2007-03,10,1
2007-04,10,2
2007-05,11,2
2007-06,11,2
2007-07,11,3
2007-08,11,3
2007-09,11,4
2007-10,11,5
2007-11,11,6
2007-12,11,6
2008-01,11,6
2008-02,11,6
2008-03,11,7
2008-04,11,7
2008-05,11,8
2008-06,12,10
2008-07,12,11
2008-08,12,12
2008-09,12,14
2008-10,12,16
2008-11,12,19
2008-12,12,23
2009-01,12,27
2009-02,13,30
2009-03,13,31
2009-04,13,33
2009-05,13,36
2009-06,14,38
2009-07,14,41
2009-08,14,44
2009-09,14,48
2009-10,14,52
2009-11,13,52
2009-12,13,57
2010-01,13,56
2010-02,13,59
2010-03,13,61
2010-04,14,68
2010-05,13,62
2010-06,14,65
2010-07,14,72
2010-08,13,66
2010-09,14,70
2010-10,14,70
2010-11,13,74
2010-12,14,76
2011-01,14,77
2011-02,13,77
2011-03,14,75
2011-04,14,80
2011-05,13,74
2011-06,13,77
2011-07,13,79
2011-08,13,80
2011-09,13,81
2011-10,13,80
2011-11,13,75
2011-12,13,81
2012-01,13,80
2012-02,13,77
2012-03,14,84
2012-04,14,80
2012-05,14,84
2012-06,13,81
2012-07,13,83
2012-08,13,78
2012-09,14,81
2012-10,15,93
2012-11,14,100
2012-12,14,98
2013-01,13,99
2013-02,14,94
2013-03,13,95
2013-04,14,93
2013-05,13,94
2013-06,12,94
2013-07,12,94
2013-08,12,96
2013-09,12,88
2013-10,11,84
2013-11,11,84
2013-12,11,80
2014-01,10,77
2014-02,10,78
2014-03,10,76
2014-04,10,75
2014-05,10,73
2014-06,10,75
2014-07,9,75
2014-08,10,74
2014-09,10,70
2014-10,9,64
2014-11,9,64
2014-12,8,61
2015-01,8,59
2015-02,9,58
2015-03,9,57
2015-04,8,58
2015-05,8,60
2015-06,8,60
2015-07,7,57
2015-08,7,57
2015-09,7,54
2015-10,7,58
2015-11,7,54
2015-12,7,52
2016-01,6,54
2016-02,6,56
2016-03,6,53
2016-04,6,53
2016-05,6,57
2016-06,6,53
2016-07,6,51
2016-08,6,50
2016-09,6,45
2016-10,5,48
2016-11,6,44
2016-12,5,45
2017-01,5,41
2017-02,5,42
2017-03,5,39
2017-04,5,42
2017-05,5,41
2017-06,5,39
2017-07,5,38
2017-08,5,41
2017-09,5,37
2017-10,5,35
2017-11,5,32
2017-12,5,33
2018-01,4,33
2018-02,5,31
2018-03,4,30
2018-04,4,29
2018-05,4,28
2018-06,4,27
2018-07,4,26
2018-08,4,26
2018-09,4,26
2018-10,4,23
2018-11,3,22
2018-12,3,22
2019-01,3,21
2019-02,3,22
2019-03,3,21
2019-04,3,20
2019-05,3,20
2019-06,3,21
2019-07,3,20
2019-08,3,19
2019-09,3,19
2019-10,3,19
2019-11,3,18
2019-12,3,18
2020-01,3,18
2020-02,3,17
2020-03,4,18
2020-04,3,20
2020-05,3,18
2020-06,4,17
2020-07,3,17
2020-08,3,16
2020-09,3,16
2020-10,3,16
2020-11,3,15
2020-12,3,15
2021-01,3,15
2021-02,3,15
2021-03,3,14
2021-04,3,14
2021-05,3,13
2021-06,3,14
2021-07,3,13
2021-08,3,13
2021-09,3,12
2021-10,3,13
2021-11,3,12
2021-12,3,12
2022-01,3,11
2022-02,3,11
2022-03,3,11
2022-04,2,10
2022-05,3,11
2022-06,3,11
2022-07,3,11
2022-08,2,11
2022-09,3,10
2022-10,3,11
2022-11,3,10
2022-12,2,10
2023-01,2,10
2023-02,3,10
2023-03,2,10
2023-04,2,10
2023-05,2,10
2023-06,2,10
2023-07,2,10
2023-08,2,10
2023-09,2,10
2023-10,2,10
2023-11,2,9
2023-12,2,9
2024-01,2,9
2024-02,2,9
2024-03,2,9
2024-04,2,8
2024-05,2,8
2024-06,2,8
2024-07,2,8
2024-08,2,7
2024-09,2,7
2024-10,2,7
2024-11,2,6
2024-12,2,7
2025-01,2,7
2025-02,2,7
2025-03,2,6
2025-04,2,6
2025-05,2,6
2025-06,2,6
2025-07,2,6
2025-08,2,6
2025-09,2,6
